City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,xuanhua,0,CN,1518325304,26,40.61,115.04,7.84,14.16
314,grindavik,75,IS,1518323400,49,63.84,-22.43,24.8,28.86
315,otane,76,NZ,1518325305,97,-39.89,176.62,70.21,7.11
316,sakata,75,JP,1518323940,86,38.92,139.93,37.4,19.46
317,general roca,0,AR,1518321600,29,-39.03,-67.58,62.6,10.29
318,beyneu,44,KZ,1518325307,88,45.32,55.19,6.76,4.65
319,bontang,64,ID,1518325307,100,0.12,117.47,82.0,3.65
320,rio gallegos,0,AR,1518321600,60,-51.62,-69.22,42.8,6.93
321,torres,92,BR,1518325309,100,-29.34,-49.73,71.29,1.74
322,necochea,12,AR,1518325309,84,-38.55,-58.74,54.69,10.58
323,vanimo,0,PG,1518325310,99,-2.67,141.3,84.57,19.64
324,luderitz,36,NA,1518321600,60,-26.65,15.16,68.0,10.29
325,beloha,92,MG,1518325311,80,-25.17,45.06,71.56,11.03
326,karaton,75,ID,1518323400,78,-6.34,106.1,82.4,8.05
327,katsuura,75,JP,1518323820,59,33.93,134.5,41.0,19.46
328,kieta,48,PG,1518325312,95,-6.22,155.63,83.94,5.21
329,bridlington,92,GB,1518324600,80,54.08,-0.19,39.2,16.11
330,makabe,75,JP,1518323400,50,36.27,140.1,53.6,4.7
331,sayan,0,YE,1518325313,52,15.88,43.46,75.03,3.42
332,mendi,8,ET,1518325314,43,9.8,35.1,72.55,3.42
333,irupi,64,BR,1518325129,97,-20.35,-41.64,65.76,4.65
334,vardo,90,US,1518323700,100,39.62,-77.74,42.8,4.43
335,biltine,0,TD,1518325315,33,14.53,20.93,64.9,5.99
336,pisco,0,PE,1518321600,88,-13.71,-76.2,71.6,5.82
337,sinaloa,40,MX,1518321420,30,32.55,-115.28,71.6,11.41
338,chernyshevskiy,64,RU,1518325316,65,63.01,112.47,-0.62,3.09
339,hambantota,0,LK,1518325316,96,6.12,81.12,82.59,10.69
340,nome,90,US,1518322500,93,30.04,-94.42,66.2,5.82
341,ambilobe,24,MG,1518325317,98,-13.19,49.05,80.56,3.76
342,qandala,0,SO,1518325318,56,11.47,49.87,72.91,2.19
343,tricase,92,IT,1518325318,100,39.93,18.36,50.41,17.85
344,vung tau,75,VN,1518321600,74,10.35,107.08,82.4,4.7
345,tura,20,IN,1518325319,59,25.52,90.21,71.38,4.99
346,nabire,32,ID,1518325319,72,-3.36,135.5,81.28,2.42
347,oistins,40,BB,1518321600,83,13.07,-59.53,77.0,23.04
348,panjab,64,AF,1518325320,89,34.38,67.02,17.43,2.42
349,sao felix do xingu,44,BR,1518325231,100,-6.64,-51.99,72.64,2.19
350,klaksvik,56,FO,1518324600,59,62.23,-6.59,35.6,10.29
351,lima,80,PE,1518325125,80,-12.06,-77.04,59.5,1.97
352,chalmette,75,US,1518324180,100,29.94,-89.96,66.2,5.82
353,hanamaki,75,JP,1518321600,80,39.43,141.16,39.2,5.82
354,malanje,12,AO,1518325256,93,-9.54,16.35,66.79,3.76
355,makakilo city,75,US,1518324060,72,21.35,-158.09,73.4,5.82
356,wittmund,75,DE,1518323940,95,53.58,7.78,33.8,19.46
357,saurimo,92,AO,1518325324,99,-9.66,20.4,65.67,3.98
358,turukhansk,36,RU,1518325324,71,65.8,87.96,1.54,9.8
359,moindou,40,NC,1518323400,51,-21.69,165.68,86.0,11.41
360,cherskiy,76,RU,1518325325,67,68.75,161.3,-0.67,4.09
361,san lazaro,75,BZ,1518321180,88,18.04,-88.66,77.0,3.98
362,orange cove,0,US,1518323700,85,36.62,-119.31,60.8,4.7
363,shingu,20,JP,1518321600,42,33.72,135.99,44.6,27.51
364,khandagayty,8,MN,1518325326,63,50.73,92.07,9.78,1.97
365,ust-ilimsk,76,RU,1518325327,78,57.96,102.73,4.38,4.76
366,vanavara,68,RU,1518325327,83,60.35,102.28,2.89,4.54
367,lasa,48,CY,1518323400,68,34.92,32.53,66.2,6.93
368,ondjiva,8,AO,1518325328,91,-17.07,15.73,64.68,3.98
369,hegang,36,CN,1518325329,50,47.34,130.28,4.96,5.1
370,fairbanks,1,US,1518323160,75,64.84,-147.72,-11.21,2.75
371,homer,90,US,1518321180,74,59.64,-151.54,35.6,12.15
372,xinyang,0,CN,1518325330,36,32.13,114.07,43.93,14.27
373,adeje,92,NG,1518325330,95,5.68,5.76,77.64,5.1
374,sorochinsk,80,RU,1518325331,84,52.43,53.15,7.48,4.43
375,najran,0,SA,1518321600,25,17.54,44.22,51.8,2.24
376,la libertad,40,PE,1518321600,87,-16.38,-71.56,53.6,5.82
377,kathu,48,ZA,1518325332,69,-27.7,23.05,67.06,4.21
378,anadyr,90,RU,1518321600,92,64.73,177.51,26.6,2.24
379,virginia beach,75,US,1518324360,100,36.85,-75.98,66.2,12.75
380,abashiri,75,JP,1518321600,80,44.01,144.25,30.2,3.36
381,swan hill,0,AU,1518325334,86,-35.34,143.56,73.45,6.67
382,northam,92,GB,1518321000,95,51.04,-4.21,41.0,26.4
383,bogotol,36,RU,1518325335,78,56.21,89.53,12.79,3.76
384,uige,88,AO,1518325335,95,-7.61,15.06,69.63,3.09
